32 32 96 43 55 2 43 23 60 | 88 61 9 5 14 53 73 74 15
34 | 21
93 1 77 44 65 32 | 22 94 43 96 71 75
98 23 76 12 19 | 75 23 9 37 76
88 11 42 83 57 22 84 52 | 36 52 45 33 12 49 2 19
23 97 57 31 20 32 67 56 50 95 | 40 71 97 66 97 60 98 59 91 0
39 | 14
48 37 22 | 48 81 75
15 73 | 4 68
77 90 | 50 82
18 13 52 99 75 60 | 21 15 52 4 76 28
39 27 | 6 47
81 99 21 18 62 | 75 53 74 90 54
67 83 93 12 17 64 55 | 44 35 6 51 97 41 9
93 24 35 26 | 82 46 40 73
98 80 32 35 65 6 | 57 37 49 37 45 63
58 64 37 56 55 94 | 84 74 77 97 75 2
35 97 56 16 68 94 3 43 | 23 66 81 14 73 67 16 0
76 | 50
0 1 2 3 4 5 6 7 8 9 | 1 2 3 4 5 6 7 8 9 10
9 | 73
46 | 25
10 48 25 | 74 91 32
60 75 64 54 90 14 91 | 14 48 19 38 9 28 32
36 7 16 86 46 | 44 51 61 49 96
95 66 | 31 89
49 64 8 56 | 56 22 30 55
96 3 17 51 42 53 8 11 68 | 34 26 12 38 28 61 40 9 39
5 22 17 95 69 70 84 | 65 96 29 35 99 70 51
29 39 8 58 94 | 44 4 78 52 91
42 21 32 19 | 38 47 5 27
78 25 42 83 78 37 86 87 12 80 | 5 82 46 36 62 31 48 25 33 34
76 23 96 | 9 68 1
70 62 2 93 62 52 70 84 44 | 72 80 16 99 64 34 47 61 86
29 | 70
70 53 1 73 | 99 6 70 96
98 84 71 | 36 83 32
94 70 34 38 84 44 97 47 | 51 43 72 48 6 67 13 95
89 99 28 26 83 37 55 | 84 98 78 35 99 93 9
10 41 70 96 93 87 62 | 12 67 44 17 16 25 69
